id,impact.gap,magnitude,significance,depth,location.distance,location.full,location.latitude,location.longitude,location,time.day,time.epoch,time.full,time.hour,time.minute,time.month,time.second,time.year
nn00553416,117.62,0.9,12,11.2,0.181,"30km SSW of Hawthorne, Nevada",38.2638,-118.7351,Nevada,27,1.4696E+12,7/27/16 1:13,1,13,7,31,2016
nc71104689,190,0.51,4,4.3,0.0986,"14km S of Ridgemark, California",36.6811667,-121.3368333,California,27,1.4696E+12,7/27/16 1:17,1,17,7,18,2016
nc71104624,315,0.53,4,2.77,0.05199,"27km NE of Hollister, California",37.0286667,-121.19,California,27,1.4696E+12,7/27/16 1:17,1,17,7,29,2016
uu60156827,120,0.14,0,6.15,0.02632,"11km NW of West Yellowstone, Montana",44.7263333,-111.2098333,Montana,27,1.4696E+12,7/27/16 1:20,1,20,7,26,2016
pr16209000,154.8,1.6,39,19,0.11678099,"2km WSW of Sabana Grande, Puerto Rico",18.072,-66.9848,Puerto Rico,27,1.4696E+12,7/27/16 1:31,1,31,7,14,2016
ak13805345,255.5999796,2.1,68,13.4,0.3494446,"66km SSE of Little Sitkin Island, Alaska",51.3716,178.7402,Alaska,27,1.4696E+12,7/27/16 1:40,1,40,7,42,2016
ci37640600,92,0.73,8,1.5,0.08636,"24km E of Coso Junction, CA",36.0758333,-117.6788333,California,27,1.4696E+12,7/27/16 1:42,1,42,7,44,2016
nc71104629,163,0.22,1,1.8,0.0528,"26km NE of Hollister, California",37.0263333,-121.1936667,California,27,1.4696E+12,7/27/16 1:44,1,44,7,49,2016
nc72666906,64,1.22,23,1.41,0.006449,"2km E of The Geysers, California",38.7763333,-122.7245,California,27,1.4696E+12,7/27/16 1:45,1,45,7,59,2016
nc72666911,54,0.55,5,2.41,0.005954,"9km WNW of Cobb, California",38.8415,-122.8288333,California,27,1.4696E+12,7/27/16 1:48,1,48,7,58,2016
hv61354336,48,1.47,33,1.49,0.005541,"5km WSW of Volcano, Hawaii",19.4074993,-155.2843323,Hawaii,27,1.4696E+12,7/27/16 1:49,1,49,7,34,2016
ak13805346,53.99999568,1.2,22,15.4,0.2299687,"27km NNE of Talkeetna, Alaska",62.5408,-149.8593,Alaska,27,1.4696E+12,7/27/16 1:50,1,50,7,32,2016
ci37640608,98,0.81,10,2.04,0.138,"17km NE of Coachella, CA",33.7878333,-116.037,California,27,1.4696E+12,7/27/16 1:58,1,58,7,26,2016
ak13831347,107.9999914,1.6,39,70.5,0.5713285,"78km SW of Homer, Alaska",59.1835,-152.5865,Alaska,27,1.4696E+12,7/27/16 2:15,2,15,7,8,2016
ci37640616,64,0.75,9,3.18,0.04043,"20km E of Little Lake, CA",35.9231667,-117.6898333,California,27,1.4696E+12,7/27/16 2:20,2,20,7,53,2016
nc72666931,55,1.4,30,2.05,0.01002,"7km WNW of Cobb, California",38.8348333,-122.8023333,California,27,1.4696E+12,7/27/16 2:22,2,22,7,7,2016
ak13805347,79.19999366,0.8,10,9.7,0.3593261,"40km SW of Manley Hot Springs, Alaska",64.7377,-151.2365,Alaska,27,1.4696E+12,7/27/16 2:26,2,26,7,9,2016
ci37640624,56,1.13,20,2.7,0.04073,"7km NE of Little Lake, CA",35.978,-117.8535,California,27,1.4696E+12,7/27/16 2:38,2,38,7,29,2016
nc72666946,78,0.47,3,4.91,0.0235,"2km ESE of Mammoth Lakes, California",37.6363333,-118.9426667,California,27,1.4696E+12,7/27/16 2:42,2,42,7,50,2016
us20006i18,45,5.6,482,98.84,1.358,"155km SSE of San Pedro de Atacama, Chile",-24.286,-67.8647,Chile,27,1.4696E+12,7/27/16 2:43,2,43,7,45,2016
pr16209001,172.8,3.6,199,163,0.36561432,"4km W of Salvaleon de Higuey, Dominican Republic",18.6138,-68.7526,Dominican Republic,27,1.4696E+12,7/27/16 3:00,3,0,7,19,2016
ci37640640,126,0.28,1,3.93,0.04043,"6km NE of Little Lake, CA",35.9758333,-117.8596667,California,27,1.4696E+12,7/27/16 3:02,3,2,7,18,2016
ak13831349,79.19999366,1.2,22,20.2,0.2461384,"47km W of Valdez, Alaska",61.1163,-147.2352,Alaska,27,1.4696E+12,7/27/16 3:06,3,6,7,12,2016
ak13805706,28.7999977,2.3,81,11.6,0.367411,"104km NW of Talkeetna, Alaska",63.0332,-151.4388,Alaska,27,1.4696E+12,7/27/16 3:09,3,9,7,58,2016
nn00553420,173.77,1.1,19,0.6,0.662,"33km SSE of Bunkerville, Nevada",36.49,-113.9923,Nevada,27,1.4696E+12,7/27/16 3:18,3,18,7,51,2016
ak13831351,64.79999482,1.5,35,72.2,0.2937491,"32km W of Kalifornsky, Alaska",60.4444,-151.8699,Alaska,27,1.4696E+12,7/27/16 3:19,3,19,7,23,2016
us10006aa8,248,2.5,96,26.5,1.348,"172km S of False Pass, Alaska",53.302,-163.5048,Alaska,27,1.4696E+12,7/27/16 3:22,3,22,7,28,2016
ak13831353,75.59999395,1.3,26,64.7,0.3198002,"62km N of Nikiski, Alaska",61.251,-151.3632,Alaska,27,1.4696E+12,7/27/16 3:25,3,25,7,13,2016
ak13805716,43.19999654,2,62,16.3,0.2578165,"16km W of Y, Alaska",62.1521,-150.1588,Alaska,27,1.4696E+12,7/27/16 3:32,3,32,7,18,2016
nc72666956,53,1.75,47,1.56,0.0119,"0km E of The Geysers, California",38.7781667,-122.7505,California,27,1.46961E+12,7/27/16 3:56,3,56,7,19,2016
nc72666961,74,0.62,6,2.25,0.005599,"3km S of Cobb, California",38.7885,-122.7218333,California,27,1.46961E+12,7/27/16 4:00,4,0,7,49,2016
pr16209003,342,2.7,112,75,1.15972503,"114km NNE of Road Town, British Virgin Islands",19.3997,-64.2795,British Virgin Islands,27,1.46961E+12,7/27/16 4:04,4,4,7,37,2016
nc72666966,137,0.8,10,1.54,0.07576,"19km SE of Mammoth Lakes, California",37.5141667,-118.8263333,California,27,1.46961E+12,7/27/16 4:06,4,6,7,43,2016
pr16209002,151.2,1.8,50,15,0.04491576,"0km NW of Luis Llorens Torres, Puerto Rico",18.0625,-66.5327,Puerto Rico,27,1.46961E+12,7/27/16 4:10,4,10,7,49,2016
hv61354386,289,1.83,52,11.266,0.5525,"75km S of Leilani Estates, Hawaii",18.7893333,-154.8673333,Hawaii,27,1.46961E+12,7/27/16 4:13,4,13,7,20,2016
ak13805719,158.3999873,2.6,104,12.3,0.1293574,"19km NNW of Chernabura Island, Alaska",54.9592,-159.6299,Alaska,27,1.46961E+12,7/27/16 4:20,4,20,7,37,2016
ak13831356,64.79999482,1.3,26,51.3,0.4006486,"32km W of Anchorage, Alaska",61.2406,-150.5094,Alaska,27,1.46961E+12,7/27/16 4:26,4,26,7,35,2016
ci37640656,79,0.06,0,1.41,0.03807,"12km NE of Little Lake, CA",36.0171667,-117.8111667,California,27,1.46961E+12,7/27/16 4:44,4,44,7,0,2016
ci37640648,78,0.75,9,11.04,0.04434,"15km ESE of Anza, CA",33.5145,-116.5175,California,27,1.46961E+12,7/27/16 4:45,4,45,7,58,2016
ci37640664,75,1.6,39,10.02,0.02385,"7km NNE of Imperial, CA",32.905,-115.5326667,California,27,1.46961E+12,7/27/16 4:48,4,48,7,43,2016
ak13806082,35.99999712,2.3,81,0.1,0.5551588,"51km NNE of Nikiski, Alaska",61.1172,-150.9111,Alaska,27,1.46961E+12,7/27/16 4:49,4,49,7,49,2016
ak13806091,68.39999453,0.3,1,22.2,0.1024079,"19km NNW of North Nenana, Alaska",64.7401,-149.2947,Alaska,27,1.46961E+12,7/27/16 5:05,5,5,7,6,2016
ak13831361,179.9999856,2.1,68,63.2,0.3233935,"52km SSE of Cold Bay, Alaska",54.7822,-162.2961,Alaska,27,1.46961E+12,7/27/16 5:11,5,11,7,40,2016
ak13806093,68.39999453,1.1,19,2.7,0.06378039,"87km NNW of Nikiski, Alaska",61.4464,-151.7569,Alaska,27,1.46961E+12,7/27/16 5:20,5,20,7,58,2016
us20006i27,98,4.9,369,30.07,1.049,"253km NNW of Tual, Indonesia",-3.7122,131.5537,Indonesia,27,1.46961E+12,7/27/16 5:21,5,21,7,59,2016
ak13806094,93.59999251,0.5,4,13.3,0.1248658,"152km W of Cantwell, Alaska",63.5351,-151.9833,Alaska,27,1.46961E+12,7/27/16 5:36,5,36,7,44,2016
ak13806095,86.39999309,1,15,10.4,0.5857016,"65km NW of Arctic Village, Alaska",68.5121,-146.7507,Alaska,27,1.46961E+12,7/27/16 5:39,5,39,7,48,2016
us100069gj,87,4.2,271,234.15,2.9,"42km NNE of Poigar, Indonesia",1.3512,124.434,Indonesia,27,1.46961E+12,7/27/16 5:53,5,53,7,32,2016
nc72666971,62,1.84,52,4.84,0.06195,"12km S of Ridgemark, California",36.7,-121.3381667,California,27,1.46961E+12,7/27/16 6:02,6,2,7,53,2016
ak13831365,208.7999833,0.9,12,19.1,0.1958327,"72km ENE of Cape Yakataga, Alaska",60.2452,-141.1849,Alaska,27,1.46961E+12,7/27/16 6:05,6,5,7,16,2016
ak13806463,97.19999222,1.5,35,95.9,0.1284591,"96km W of Willow, Alaska",61.6271,-151.8501,Alaska,27,1.46961E+12,7/27/16 6:10,6,10,7,48,2016
nc72666976,194,1.75,47,8.4,0.1164,"6km SW of Huron, California",36.1681667,-120.1663333,California,27,1.46961E+12,7/27/16 6:12,6,12,7,53,2016
ak13831367,93.59999251,1.2,22,17.2,0.350343,"40km NNW of Valdez, Alaska",61.4586,-146.6547,Alaska,27,1.46961E+12,7/27/16 6:19,6,19,7,32,2016
ci37640696,91,0.59,5,10.44,0.0874,"10km NNE of Trabuco Canyon, CA",33.7398333,-117.5278333,California,27,1.46962E+12,7/27/16 6:23,6,23,7,43,2016
ak13806465,82.79999338,1.2,22,15,0.08623827,"13km NW of Willow, Alaska",61.8231,-150.2247,Alaska,27,1.46962E+12,7/27/16 6:27,6,27,7,4,2016
ci37640704,86,0.84,11,8.03,0.1368,"24km ESE of Julian, CA",33.0166667,-116.3543333,California,27,1.46962E+12,7/27/16 6:29,6,29,7,6,2016
ak13831369,133.1999893,1.1,19,30.2,0.2712912,"43km N of Valdez, Alaska",61.5179,-146.4904,Alaska,27,1.46962E+12,7/27/16 6:42,6,42,7,59,2016
nc72666986,101,0.71,8,2.11,0.008326,"6km NW of The Geysers, California",38.8160019,-122.8150024,California,27,1.46962E+12,7/27/16 6:45,6,45,7,37,2016
hv61354436,75,2.1,68,1.84,0.008751,"5km WSW of Volcano, Hawaii",19.4034996,-155.2831726,Hawaii,27,1.46962E+12,7/27/16 6:49,6,49,7,58,2016
ak13831370,86.39999309,1.6,39,84.4,0.3350716,"57km SW of Anchor Point, Alaska",59.4809,-152.6624,Alaska,27,1.46962E+12,7/27/16 6:52,6,52,7,0,2016
ak13806467,118.7999905,0.6,6,8.8,0.3611227,"119km NNW of Talkeetna, Alaska",63.2389,-151.3281,Alaska,27,1.46962E+12,7/27/16 7:02,7,2,7,44,2016
ak13831372,89.9999928,1.7,44,71,0.678228,"95km NW of Kodiak Station, Alaska",58.4244,-153.6441,Alaska,27,1.46962E+12,7/27/16 7:06,7,6,7,59,2016
us100067t9,248,3.3,168,2.6,0.994,"126km S of Unalaska, Alaska",52.7406,-166.6875,Alaska,27,1.46962E+12,7/27/16 7:13,7,13,7,37,2016
uw61172232,74,1.3,26,16.7,0.04072,"9km SSW of Riverbend, Washington",47.3855,-121.7835,Washington,27,1.46962E+12,7/27/16 7:22,7,22,7,0,2016
us20006i2f,96,4.8,354,10,6.743,Southern East Pacific Rise,-21.7716,-113.8676,Southern East Pacific Rise,27,1.46962E+12,7/27/16 7:27,7,27,7,13,2016
ak13831374,133.1999893,1.3,26,7.5,0.2551215,"59km E of Whittier, Alaska",60.8123,-147.6027,Alaska,27,1.46962E+12,7/27/16 7:31,7,31,7,1,2016
nc72666991,94,1.02,16,2.32,0.009271,"6km NW of The Geysers, California",38.8123322,-122.8181686,California,27,1.46962E+12,7/27/16 7:39,7,39,7,49,2016
ak13806836,295.1999764,1.9,56,8.2,0.49587,"91km S of Little Sitkin Island, Alaska",51.1326,178.6078,Alaska,27,1.46962E+12,7/27/16 7:41,7,41,7,25,2016
us20006i2h,92,4,246,227.52,1.166,"117km NW of San Antonio de los Cobres, Argentina",-23.3566,-66.9895,Argentina,27,1.46962E+12,7/27/16 7:45,7,45,7,53,2016
ak13831376,266.3999787,2.3,81,9.1,1.016893,"127km S of Unalaska, Alaska",52.7317,-166.6461,Alaska,27,1.46962E+12,7/27/16 7:47,7,47,7,47,2016
us20006i2i,85,4.9,375,35,3.968,"3km SW of Ipil, Philippines",10.9473,124.6154,Philippines,27,1.46962E+12,7/27/16 7:56,7,56,7,15,2016
ak13806840,79.19999366,1.1,19,14.8,0.2874609,"186km WNW of Haines Junction, Canada",61.4966,-140.6142,Canada,27,1.46962E+12,7/27/16 8:04,8,4,7,41,2016
ci37640736,85,1.02,16,12.58,0.1562,"27km SSW of Ocotillo Wells, CA",32.9211667,-116.2398333,California,27,1.46962E+12,7/27/16 8:05,8,5,7,33,2016
hv61354531,65,1.99,61,5.327,0.0776,"11km WSW of Pahala, Hawaii",19.173,-155.5863333,Hawaii,27,1.46962E+12,7/27/16 8:06,8,6,7,45,2016
ak13831378,205.1999836,2.4,89,12.2,0.797704,"114km SE of Cold Bay, Alaska",54.4634,-161.4569,Alaska,27,1.46962E+12,7/27/16 8:09,8,9,7,21,2016
nn00553474,317.24,0.8,10,14.3,0.327,"35km NE of Fernley, Nevada",39.8674,-119.0119,Nevada,27,1.46962E+12,7/27/16 8:15,8,15,7,37,2016
ci37640744,70,1.34,28,12.5,0.03139,"13km N of Cabazon, CA",34.0308333,-116.7703333,California,27,1.46962E+12,7/27/16 8:16,8,16,7,46,2016
us20006i2n,101,4.8,354,73.33,1.645,"83km ESE of Taron, Papua New Guinea",-4.8676,153.6709,Papua New Guinea,27,1.46962E+12,7/27/16 8:22,8,22,7,38,2016
ci37640752,78,1.03,16,3.34,0.0749,"25km WNW of Desert Center, CA",33.7811667,-115.6553333,California,27,1.46962E+12,7/27/16 8:28,8,28,7,52,2016
ak13806850,197.9999842,3.2,158,31.8,1.143555,"133km WSW of Chernabura Island, Alaska",54.1201,-161.2719,Alaska,27,1.46962E+12,7/27/16 8:31,8,31,7,18,2016
nc72667001,59,1.22,23,8.37,0.03158,"6km NE of East Foothills, California",37.4285,-121.7716667,California,27,1.46962E+12,7/27/16 8:34,8,34,7,35,2016
us20006i2p,51,4.5,312,109.2,1.439,"9km SSE of Nahrin, Afghanistan",35.9805,69.1573,Afghanistan,27,1.46962E+12,7/27/16 8:37,8,37,7,15,2016
nn00553426,61.22,2,62,6.3,0.19,"20km NW of Hawthorne, Nevada",38.6459,-118.7994,Nevada,27,1.46962E+12,7/27/16 8:38,8,38,7,27,2016
ak13831380,107.9999914,1,15,92,0.6243291,"69km NNW of Talkeetna, Alaska",62.8542,-150.8216,Alaska,27,1.46962E+12,7/27/16 8:46,8,46,7,57,2016
nc72667006,92,1.74,47,4.3,0.05841,"8km SSW of Kelseyville, California",38.9155,-122.8926667,California,27,1.46962E+12,7/27/16 8:57,8,57,7,30,2016
ak13807229,158.3999873,2,62,4.8,0.2488333,"24km NNW of Chignik Lake, Alaska",56.444,-158.9668,Alaska,27,1.46963E+12,7/27/16 9:13,9,13,7,58,2016
ci37640768,54,1.53,36,0.58,0.07573,"9km E of Yucaipa, CA",34.018,-116.9448333,California,27,1.46963E+12,7/27/16 9:17,9,17,7,47,2016
ci37640776,48,1.82,51,6.73,0.1328,"24km ESE of Julian, CA",33.0133333,-116.3573333,California,27,1.46963E+12,7/27/16 9:19,9,19,7,31,2016
us20006i2u,124,4.1,259,193.92,1.471,"97km W of San Antonio de los Cobres, Argentina",-24.1725,-67.2739,Argentina,27,1.46963E+12,7/27/16 9:21,9,21,7,5,2016
ak13831382,79.19999366,0.9,12,0.3,0.3323767,"183km NNE of Cape Yakataga, Alaska",61.45,-140.6041,Alaska,27,1.46963E+12,7/27/16 9:24,9,24,7,53,2016
nn00553442,131.99,1.6,39,10,0.146,"68km ESE of Lakeview, Oregon",41.8767,-119.6278,Oregon,27,1.46963E+12,7/27/16 9:28,9,28,7,55,2016
uw61172252,93,0.52,4,2.09,0.0514,"21km E of Mount Hood Village, Oregon",45.3598333,-121.7006667,Oregon,27,1.46963E+12,7/27/16 9:34,9,34,7,28,2016
us100069gp,64,4.5,312,10,16.716,South of Africa,-52.1331,27.7175,South of Africa,27,1.46963E+12,7/27/16 9:34,9,34,7,50,2016
ci37640792,62,0.61,6,1.1,0.0006807,"16km NE of Little Lake, CA",36.0255,-117.7645,California,27,1.46963E+12,7/27/16 9:37,9,37,7,54,2016
ak13807238,100.7999919,0.4,2,21.9,0.02694946,"21km SSW of Badger, Alaska",64.6281,-147.7578,Alaska,27,1.46963E+12,7/27/16 9:44,9,44,7,8,2016
nc72667016,67,2.09,67,5.37,0.02263,"20km SSE of Ridgemark, California",36.646,-121.2611667,California,27,1.46963E+12,7/27/16 9:50,9,50,7,11,2016
nc72667021,52,1.16,21,1.42,0.006506,"7km W of Cobb, California",38.8293333,-122.8135,California,27,1.46963E+12,7/27/16 9:50,9,50,7,20,2016
us20006i31,129,3.6,199,28.02,0.352,"43km NNE of Chernabura Island, Alaska",55.1608,-159.3778,Alaska,27,1.46963E+12,7/27/16 9:51,9,51,7,4,2016
ci37640816,62,0.72,8,1.54,0.002016,"16km NE of Little Lake, CA",36.0243333,-117.7675,California,27,1.46963E+12,7/27/16 10:02,10,2,7,16,2016
ci37640824,106,0.96,14,1.56,0.00212,"16km NE of Little Lake, CA",36.0273333,-117.7651667,California,27,1.46963E+12,7/27/16 10:06,10,6,7,4,2016
us20006i32,85,4.3,284,60.16,2.169,"37km SSE of Picota, Peru",-7.237,-76.2101,Peru,27,1.46963E+12,7/27/16 10:06,10,6,7,33,2016
us100069gq,84,4.4,298,540.25,4.539,"192km NE of Ndoi Island, Fiji",-19.3536,-177.4688,Fiji,27,1.46963E+12,7/27/16 10:22,10,22,7,17,2016
ak13831385,104.3999916,1.2,22,1.5,0.3359699,"79km WNW of Skagway, Alaska",59.7753,-136.57,Alaska,27,1.46963E+12,7/27/16 10:38,10,38,7,6,2016
us20006i35,88,5.3,500,46,0.526,"15km SE of Hitachi, Japan",36.4922,140.7568,Japan,27,1.46963E+12,7/27/16 10:47,10,47,7,17,2016
nc72667036,164,1.11,19,1.66,0.0617,"7km SSW of Kelseyville, California",38.9195,-122.8885,California,27,1.46963E+12,7/27/16 11:19,11,19,7,34,2016
ak13807656,32.39999741,1.6,39,1,0.2811727,"150km SE of McGrath, Alaska",62.1606,-153.2248,Alaska,27,1.46963E+12,7/27/16 11:24,11,24,7,13,2016
nc72667046,307,0.65,6,0.66,0.1457,"21km SSE of Mammoth Lakes, California",37.4673333,-118.8923333,California,27,1.46963E+12,7/27/16 11:27,11,27,7,53,2016
us20006i3b,36,2.6,104,4.586,0,"10km S of Langston, Oklahoma",35.8525,-97.2357,Oklahoma,27,1.46963E+12,7/27/16 11:36,11,36,7,26,2016
ak13831387,262.799979,2.2,74,4.6,0.943231,"125km S of Unalaska, Alaska",52.7552,-166.7771,Alaska,27,1.46963E+12,7/27/16 11:38,11,38,7,23,2016
ak13808047,208.7999833,3,138,2.2,2.171228,"73km S of Point Hope, Alaska",67.6877,-166.7916,Alaska,27,1.46963E+12,7/27/16 11:41,11,41,7,20,2016
ak13808051,53.99999568,1.2,22,65.7,0.1554085,"59km SSE of Cantwell, Alaska",62.9393,-148.3064,Alaska,27,1.46963E+12,7/27/16 11:48,11,48,7,58,2016
ak13831390,233.9999813,1.8,50,39.3,0.2784777,"28km SE of Nikolski, Alaska",52.7361,-168.6086,Alaska,27,1.46963E+12,7/27/16 11:51,11,51,7,14,2016
ak13831391,269.9999784,2,62,19.1,0.6521769,"96km S of False Pass, Alaska",53.9955,-163.6187,Alaska,27,1.46964E+12,7/27/16 11:58,11,58,7,31,2016
ak13808060,53.99999568,1.2,22,10.1,0.5093448,"80km ENE of Cantwell, Alaska",63.5851,-147.3953,Alaska,27,1.46964E+12,7/27/16 12:07,12,7,7,58,2016
ak13808062,104.3999916,0.5,4,11.2,0.1158827,"112km WNW of Cantwell, Alaska",63.5873,-151.1715,Alaska,27,1.46964E+12,7/27/16 12:10,12,10,7,34,2016
ak13808063,86.39999309,1.6,39,7.5,0.1060012,"84km E of Cape Yakataga, Alaska",60.205,-140.9321,Alaska,27,1.46964E+12,7/27/16 12:12,12,12,7,31,2016
nc72667051,62,1.56,37,2.24,0.007541,"9km WNW of The Geysers, California",38.8226667,-122.8446667,California,27,1.46964E+12,7/27/16 12:15,12,15,7,54,2016
ak13808065,43.19999654,1.2,22,10.4,0.1697816,"43km E of Manley Hot Springs, Alaska",65.0745,-149.7254,Alaska,27,1.46964E+12,7/27/16 12:16,12,16,7,46,2016
ci37640856,38,2.17,72,1.68,0.07799,"20km ENE of Thermal, CA",33.7266667,-115.9446667,California,27,1.46964E+12,7/27/16 12:17,12,17,7,34,2016
ak13808077,50.39999597,1.7,44,10.1,0.133849,"113km W of Cantwell, Alaska",63.5137,-151.2119,Alaska,27,1.46964E+12,7/27/16 12:33,12,33,7,33,2016
ci37640864,75,0.68,7,11.2,0.07319,"15km ESE of Anza, CA",33.5185,-116.5193333,California,27,1.46964E+12,7/27/16 12:45,12,45,7,46,2016
ak13831397,79.19999366,1.4,30,97,0.1607984,"58km WNW of Anchor Point, Alaska",59.9464,-152.8283,Alaska,27,1.46964E+12,7/27/16 12:48,12,48,7,3,2016
ak13808084,68.39999453,0.4,2,21.9,0.07995006,"13km WNW of North Nenana, Alaska",64.6442,-149.3513,Alaska,27,1.46964E+12,7/27/16 12:48,12,48,7,40,2016
nc72667056,167,2.25,78,21,0.02659,"22km S of San Joaquin, California",36.4063333,-120.2075,California,27,1.46964E+12,7/27/16 12:54,12,54,7,54,2016
uw61172322,125,1.33,27,8.82,0.08469,"14km S of Morton, Washington",46.433,-122.3106667,Washington,27,1.46964E+12,7/27/16 13:00,13,0,7,58,2016
ak13808483,61.1999951,0.7,8,9.7,0.5362942,"76km ENE of Cantwell, Alaska",63.6092,-147.5036,Alaska,27,1.46964E+12,7/27/16 13:11,13,11,7,42,2016
us20006i5j,36,2.7,112,5.411,0,"10km S of Langston, Oklahoma",35.8519,-97.2366,Oklahoma,27,1.46964E+12,7/27/16 13:12,13,12,7,36,2016
ci37640896,19,2.03,64,13.68,0.0459,"5km ENE of Cabazon, CA",33.9368333,-116.7363333,California,27,1.46964E+12,7/27/16 13:22,13,22,7,12,2016
ak13808484,46.79999626,1.4,30,5.4,0.3512413,"99km S of Coldfoot, Alaska",66.3658,-150.1971,Alaska,27,1.46964E+12,7/27/16 13:23,13,23,7,36,2016
ci37640904,38,1.28,25,1.95,0.07724,"21km ENE of Thermal, CA",33.7276667,-115.9425,California,27,1.46964E+12,7/27/16 13:29,13,29,7,17,2016
ak13831401,237.599981,1.6,39,37.5,0.3153087,"32km SE of Nikolski, Alaska",52.7041,-168.5775,Alaska,27,1.46964E+12,7/27/16 13:30,13,30,7,11,2016
ak13831402,68.39999453,2.1,68,133.9,0.595583,"95km E of King Salmon, Alaska",58.8044,-155.0242,Alaska,27,1.46964E+12,7/27/16 13:31,13,31,7,52,2016
ci37640936,149,0.71,8,16.17,0.1197,"17km N of Borrego Springs, CA",33.4063333,-116.3943333,California,27,1.46964E+12,7/27/16 13:43,13,43,7,23,2016
ci37640944,37,1.59,39,1.43,0.07916,"21km ENE of Thermal, CA",33.7288333,-115.9443333,California,27,1.46964E+12,7/27/16 13:47,13,47,7,1,2016
ak13808499,125.9999899,1,15,0,0.1365439,"22km NNE of Badger, Alaska",64.9836,-147.3588,Alaska,27,1.46964E+12,7/27/16 13:58,13,58,7,11,2016
ci37640960,23,2.62,107,4.17,0.1253,"12km SSE of Big Bear City, CA",34.1613333,-116.8086667,California,27,1.46964E+12,7/27/16 13:59,13,59,7,44,2016
ak13808896,107.9999914,0.8,10,7.4,0.512938,"81km ENE of Cantwell, Alaska",63.5895,-147.3766,Alaska,27,1.46964E+12,7/27/16 14:00,14,0,7,6,2016
ak13808898,50.39999597,1.6,39,53.2,0.2937491,"51km W of Anchorage, Alaska",61.174,-150.8544,Alaska,27,1.46964E+12,7/27/16 14:05,14,5,7,15,2016
uw61172332,108,1.62,40,18.01,0.09023,"7km NW of Coupeville, Washington",48.2676667,-122.7643333,Washington,27,1.46964E+12,7/27/16 14:07,14,7,7,31,2016
ak13831406,262.799979,2.2,74,10,1.075283,"140km S of Unalaska, Alaska",52.6252,-166.8396,Alaska,27,1.46964E+12,7/27/16 14:07,14,7,7,48,2016
nn00553525,71.77,0.6,6,7,0.103,"10km S of Mogul, Nevada",39.4179,-119.9274,Nevada,27,1.46964E+12,7/27/16 14:09,14,9,7,47,2016
ak13808899,64.79999482,0.7,8,10.6,0.3629194,"125km ENE of McGrath, Alaska",63.3396,-153.2587,Alaska,27,1.46964E+12,7/27/16 14:18,14,18,7,21,2016
ak13808917,255.5999796,2,62,0.8,0.9252647,"119km S of Unalaska, Alaska",52.8063,-166.7396,Alaska,27,1.46964E+12,7/27/16 14:35,14,35,7,5,2016
ak13808919,161.999987,1.3,26,2.2,0.06198375,"107km NNW of Larsen Bay, Alaska",58.4749,-154.4359,Alaska,27,1.46964E+12,7/27/16 14:39,14,39,7,45,2016
ak13808958,154.7999876,1.5,35,3.9,0.4374795,"57km ESE of Whittier, Alaska",60.5164,-147.773,Alaska,27,1.46965E+12,7/27/16 14:52,14,52,7,31,2016
ci37640976,73,0.4,2,14.55,0.06129,"9km N of Anza, CA",33.6343333,-116.6635,California,27,1.46965E+12,7/27/16 14:54,14,54,7,38,2016
